average_packet_size,packet_length_mean,subflow_fwd_bytes,total_fwd_packet_length,fwd_header_length, fwd_packet_length_max,packet_length_std,packet_length_variance,max_packet_length,init_win_bytes_fwd,flow_iat_max,fwd_iat_max,flow_duration,fwd_segment_size,fwd_packet_length_mean,flow_bytes_per_sec,fwd_iat_total,fwd_iat_mean,fwd_packets_per_second,avg_bwd_segment_size,Label
88,88,88,88,128,88,0,0,88,0,0,0,0,88,88,0,0,0,0,0,BENIGN
88,88,176,176,256,88,0,0,88,0,0.000423193,0.000423193,0.000423193,88,88,415885.9177,0.000423193,0.000423193,4725.976338,0,BENIGN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
104,104,104,104,160,104,0,0,104,0,0,0,0,104,104,0,0,0,0,0,BENIGN
74,74,74,74,100,74,0,0,74,32120,0,0,0,74,74,0,0,0,0,0,BENIGN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
71.33333333,71.33333333,140,140,184,74,3.771236166,14.22222222,74,32120,0.050793886,0.050842047,0.050842047,70,70,4209.114576,0.050842047,0.050842047,39.3375194,74,BENIGN
199.25,199.25,723,723,1302,583,221.5822364,49098.6875,583,32120,0.050793886,0.050842047,0.065327406,241,241,12200.08645,0.065327406,0.032663703,45.92253369,74,BENIGN
66,66,66,66,84,66,0,0,66,261,0,0,0,66,66,0,0,0,0,0,BENIGN
1466,1466,2932,2932,5768,2866,1400,1960000,2866,261,0.005835056,0.005835056,0.005835056,1466,1466,502480.1556,0.005835056,0.005835056,342.7559042,0,BENIGN
1093.333333,1093.333333,3280,3280,6416,2866,1258.740464,1584427.556,2866,261,0.005835056,0.005835056,0.005835533,1093.333333,1093.333333,562073.7506,0.005835533,0.002917767,514.0918451,0,BENIGN
172.6,172.6,789,789,1386,583,205.2311867,42119.84,583,32120,0.055747986,0.055747986,0.121075392,197.25,197.25,7127.790275,0.121075392,0.040358464,33.03726663,74,BENIGN
154.8333333,154.8333333,855,855,1470,583,191.5153751,36678.13889,583,32120,0.055747986,0.055747986,0.121563911,171,171,7642.070652,0.121563911,0.030390978,41.13062784,74,BENIGN
104.75,104.75,250,250,356,88,37.53248593,1408.6875,169,0,0.878623247,0.886459827,0.88688302,83.33333333,83.33333333,472.4411116,0.88688302,0.44344151,3.382633257,169,BENIGN
98.6,98.6,324,324,456,88,35.75248243,1278.24,169,0,0.878623247,0.886459827,0.887410164,81,81,555.5491925,0.887410164,0.295803388,4.50749852,169,BENIGN
138.5,138.5,173,277,458,173,34.5,1190.25,173,0,0.900827408,0.900827408,0.900827408,138.5,138.5,307.4950846,0.900827408,0.900827408,2.220181116,0,BENIGN
158,158,370,474,804,197,39.42080669,1554,197,0,0.900827408,0.900827408,0.900827885,158,158,526.1826461,0.900827885,0.450413942,3.330269912,0,BENIGN
74,74,74,74,100,74,0,0,74,32120,0,0,0,74,74,0,0,0,0,0,BENIGN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
71.33333333,71.33333333,140,140,184,74,3.771236166,14.22222222,74,32120,0.034361124,0.034401655,0.034401655,70,70,6220.630919,0.034401655,0.034401655,58.13673757,74,BENIGN
173.75,173.75,621,621,1098,481,177.4209331,31478.1875,481,32120,0.034361124,0.034401655,0.035183668,207,207,19753.48327,0.035183668,0.017591834,85.26683427,74,BENIGN
66,66,66,66,84,66,0,0,66,506,0,0,0,66,66,0,0,0,0,0,BENIGN
510.5,510.5,1021,1021,1946,955,444.5,197580.25,955,506,0.002511501,0.002511501,0.002511501,510.5,510.5,406529.7498,0.002511501,0.002511501,796.3364344,0,BENIGN
152.2,152.2,687,687,1182,481,164.4389248,27040.16,481,32120,0.042382002,0.042382002,0.07756567,171.75,171.75,9811.041404,0.07756567,0.025855223,51.5692058,74,BENIGN
151.2857143,151.2857143,985,985,1682,583,177.5215997,31513.91837,583,32120,0.996665955,0.996665955,1.118229866,164.1666667,164.1666667,947.0324771,1.118229866,0.223645973,5.3656231,74,BENIGN
161.875,161.875,1221,1221,2106,583,168.4031157,28359.60938,583,32120,0.996665955,0.996665955,1.119507313,174.4285714,174.4285714,1156.758857,1.119507313,0.186584552,6.252750581,74,BENIGN
171.3333333,171.3333333,1468,1468,2552,583,161.0100066,25924.22222,583,32120,0.996665955,0.996665955,1.152302265,183.5,183.5,1338.190548,1.152302265,0.164614609,6.942622819,74,BENIGN
983,983,3932,3932,7672,2866,1106.72535,1224841,2866,261,1.044259787,1.044259787,1.05009532,983,983,3744.421983,1.05009532,0.350031773,3.80917801,0,BENIGN
805.8,805.8,4029,4029,7818,2866,1051.414362,1105472.16,2866,261,1.044259787,1.044259787,1.050095797,805.8,805.8,3836.792808,1.050095797,0.262523949,4.76147035,0,BENIGN
160.8,160.8,1534,1534,2636,583,155.981922,24330.36,583,32120,0.996665955,0.996665955,1.165336609,170.4444444,170.4444444,1379.858822,1.165336609,0.145667076,7.72309042,74,BENIGN
152.1818182,152.1818182,1600,1600,2720,583,151.1993375,22861.23967,583,32120,0.996665955,0.996665955,1.165492058,160,160,1436.303224,1.165492058,0.129499118,8.580067048,74,BENIGN
147.5833333,147.5833333,1697,1697,2866,583,145.5635361,21188.74306,583,32120,0.996665955,0.996665955,1.17147398,154.2727273,154.2727273,1511.770667,1.17147398,0.117147398,9.389879919,74,BENIGN
682.5,682.5,4095,4095,7902,2866,998.6196723,997241.25,2866,261,1.044259787,1.044259787,1.092196941,682.5,682.5,3749.323812,1.092196941,0.218439388,5.493514743,0,BENIGN
594.4285714,594.4285714,4161,4161,7986,2866,949.3775189,901317.6735,2866,261,1.044259787,1.044259787,1.108610868,594.4285714,594.4285714,3753.345848,1.108610868,0.184768478,6.314208348,0,BENIGN
98,98,419,419,598,95,32.66496594,1067,169,0,0.878623247,0.886459827,1.351059675,83.8,83.8,435.2139367,1.351059675,0.337764919,3.700798782,169,BENIGN
97.57142857,97.57142857,514,514,740,95,30.26009698,915.6734694,169,0,0.878623247,0.886459827,1.351757288,85.66666667,85.66666667,505.2682209,1.351757288,0.270351458,4.438666655,169,BENIGN
180.75,180.75,249,723,1254,249,52.1362398,2718.1875,249,0,0.900827408,0.900827408,1.350962877,180.75,180.75,535.1738469,1.350962877,0.450320959,2.960851158,0,BENIGN
196.8,196.8,510,984,1728,261,56.61236614,3204.96,261,0,0.900827408,0.900827408,1.351530075,196.8,196.8,728.0637095,1.351530075,0.337882519,3.699510719,0,BENIGN
74,74,74,74,100,74,0,0,74,32120,0,0,0,74,74,0,0,0,0,0,BENIGN
544.625,544.625,4357,4357,8330,2866,897.7837904,806015.7344,2866,261,1.044259787,1.044259787,1.241190195,544.625,544.625,3510.340331,1.241190195,0.177312885,6.445426359,0,BENIGN
144.3076923,144.3076923,1802,1802,3028,583,140.3124999,19687.59763,583,32120,0.996665955,0.996665955,1.356868267,150.1666667,150.1666667,1382.595529,1.356868267,0.123351661,8.843894644,74,BENIGN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
71.33333333,71.33333333,140,140,184,74,3.771236166,14.22222222,74,32120,0.043385506,0.043425798,0.043425798,70,70,4927.946239,0.043425798,0.043425798,46.05557233,74,BENIGN
